SUBJECT_DESC,CAMPUS_DESC,STUDENT_CAMPUS_DESC,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,MEETING_TYPE_DESC,CRN,Professor,Subject,Course,Section,Title,Credits,Building,Room,Sub Academic Term,Days,Time,Class Status TBA,Max Enrollment,Actual Enrolled,Course Text Narrative
"Kunkle, Amy C.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,22705,"Kunkle, Amy C.",EDRD,B428,001,Literacy Content for Teachers,3,CFA,100,20 - Beaufort Full Term,    F  ,9:00 AM - 11:45 AM,,25,11,
"Lahar, Cindy J.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20174,"Lahar, Cindy J.",PSYC,B101,001,Introduction to Psychology,3,LIBR2,267,20 - Beaufort Full Term,M W    ,1:55 PM - 3:10 PM,,68,55,
"Lahar, Cindy J.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20175,"Lahar, Cindy J.",PSYC,B311,001,Abnormal Psychology,3,SCITEC,222,20 - Beaufort Full Term,M W F  ,11:30 AM - 12:20 PM,,34,32,
"Lambert, Jane L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19495,"Lambert, Jane L.",ACCT,B425,001,Intermediate Accounting I,3,SCITEC,223,20 - Beaufort Full Term,M      ,6:15 PM - 9:15 PM,,35,17,
"Lambert, Jane L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19498,"Lambert, Jane L.",BADM,B210,001,Financial Reasoning,3,SCITEC,222,20 - Beaufort Full Term,M W    ,12:30 PM - 1:45 PM,,35,30,
"Lambert, Jane L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19499,"Lambert, Jane L.",BADM,B210,002,Financial Reasoning,3,SCITEC,222,20 - Beaufort Full Term,M W    ,1:55 PM - 3:10 PM,,35,32,
"Lambert, Jane L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19519,"Lambert, Jane L.",BADM,B429,001,Internship,3,,,20 - Beaufort Full Term,       ,,TBA,5,2,
"Lamkin, Randolph",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20242,"Lamkin, Randolph",SOCY,B309,001,Intro to Social Inequality,3,HARG,276,20 - Beaufort Full Term, T Th   ,1:40 PM - 2:55 PM,,35,31,
"Lamkin, Randolph",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20773,"Lamkin, Randolph",SOCY,B315,W01,Wrd Pop: Problems and Policies,3,2WEB,1,20 - Beaufort Full Term,       ,,TBA,30,31,
"Lamkin, Randolph",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,24842,"Lamkin, Randolph",SOCY,B340,PW2,Intro to Social Problems,3,2WEB,1,2B - Beaufort Second Half Term,       ,,TBA,30,37,
"Lamkin, Randolph",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,28536,"Lamkin, Randolph",SOCY,B399,I01,Independent Study in Sociology,3,,,20 - Beaufort Full Term,       ,,TBA,2,2,Sociology Research Seminar
"Lamkin, Randolph",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,23398,"Lamkin, Randolph",SOCY,B495,001,Internship in Sociology,3,,,20 - Beaufort Full Term,       ,,TBA,0,1,
"Lamkin, Randolph",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20774,"Lamkin, Randolph",SOCY,B497,PW0,Sociological Research Methods,4,2WEB,1,20 - Beaufort Full Term,       ,,TBA,30,29,
"Landrum, Robert H.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,24454,"Landrum, Robert H.",HIST,B101,001,Euro Civ to Mid 17th Century,3,HARG,156,20 - Beaufort Full Term, T Th   ,9:25 AM - 10:40 AM,,70,62,
"Landrum, Robert H.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,24453,"Landrum, Robert H.",HIST,B101,B01,Euro Civ to Mid 17th Century,3,CFA,103,20 - Beaufort Full Term, T Th   ,4:30 PM - 5:45 PM,,30,8,
"Landrum, Robert H.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,24463,"Landrum, Robert H.",HIST,B303,001,World of the Ancient Romans,3,HARG,204,20 - Beaufort Full Term, T Th   ,1:40 PM - 2:55 PM,,35,20,
"Landrum, Robert H.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,30147,"Landrum, Robert H.",HIST,B399,I82,Independent Study,3,,,2B - Beaufort Second Half Term,       ,,TBA,1,1,Japan 1854-1912
"Leaphart, Amy E.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19822,"Leaphart, Amy E.",ENGL,B101,006,Composition,3,HARG,159,20 - Beaufort Full Term,M W    ,1:55 PM - 3:10 PM,,22,20,
"Leaphart, Amy E.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19827,"Leaphart, Amy E.",ENGL,B101,008,Composition,3,HARG,159,20 - Beaufort Full Term,M W    ,3:20 PM - 4:35 PM,,22,4,
"Leaphart, Amy E.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,25528,"Leaphart, Amy E.",ENGL,B101,H02,Composition,3,HARG,159,20 - Beaufort Full Term,M W    ,10:30 AM - 11:20 AM,,22,22,
"Leaphart, Amy E.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,25530,"Leaphart, Amy E.",ENGL,B101,H04,Composition,3,HARG,159,20 - Beaufort Full Term,M W    ,11:30 AM - 12:20 PM,,22,18,
"Lee, Linnea",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19477,"Lee, Linnea",MATH,B115,003,Precalculus Mathematics,4,HARG,277,20 - Beaufort Full Term,M W    ,6:15 PM - 7:55 PM,,25,21,
"Liang, Xuwei",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19985,"Liang, Xuwei",CSCI,B101,002,Intro to Computer Concepts,3,LIBR2,241,20 - Beaufort Full Term,M W F  ,8:30 AM - 9:20 AM,,20,20,
"Liang, Xuwei",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19977,"Liang, Xuwei",CSCI,B201,001,Intro to Computer Security,3,LIBR2,241,20 - Beaufort Full Term, T Th   ,3:05 PM - 4:20 PM,,20,11,
"Liang, Xuwei",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19978,"Liang, Xuwei",CSCI,B350,001,Techniques of Computation,3,SCITEC,123,20 - Beaufort Full Term,M W F  ,9:30 AM - 10:20 AM,,20,25,
"Liang, Xuwei",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19980,"Liang, Xuwei",CSCI,B466,001,Data Visualization,3,LIBR2,241,20 - Beaufort Full Term, T Th   ,12:15 PM - 1:30 PM,,20,17,
"Liang, Xuwei",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19471,"Liang, Xuwei",STAT,B340,001,Intro to Probability and Stats,3,SCITEC,123,20 - Beaufort Full Term, T Th   ,9:25 AM - 10:40 AM,,22,22,
"Logue, Lindsey N.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,21295,"Logue, Lindsey N.",PEDU,B104,082,Personal Fitness & Weight Ctrl,1,RECCTR,1,2B - Beaufort Second Half Term,M W    ,11:00 AM - 12:30 PM,,10,12,"REC CTR on MW 11:00am - 12:30pm
"
"Logue, Lindsey N.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,21302,"Logue, Lindsey N.",PEDU,B107,081,Aerobic Fitness,1,RECCTR,1,2A - Beaufort First Half Term, T Th   ,9:30 AM - 11:00 AM,,14,6,REC CTR on TR 9:30am-11:00am
"Logue, Lindsey N.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20260,"Logue, Lindsey N.",UNIV,B101,002,The Student in the University,3,HARG,158,20 - Beaufort Full Term, T Th   ,12:15 PM - 1:30 PM,,25,24,
"Lotz, Diana L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19187,"Lotz, Diana L.",NURS,B326,002,Adult Health Nursing I,6,CLIN2,1,20 - Beaufort Full Term,M      ,6:00 AM - 7:00 PM,,7,8,"lec Slachta/Pelletier
lab Wheeler, J.
clin Jarmulowicz"
"Love, Christopher B.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18973,"Love, Christopher B.",BIOL,B101,003,Biological Principles I,4,HARG,276,20 - Beaufort Full Term, T Th   ,4:40 PM - 5:55 PM,,24,23,
"Love, Christopher B.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18973,"Love, Christopher B.",BIOL,B101,003,Biological Principles I,4,SCITEC,114,20 - Beaufort Full Term, T     ,6:00 PM - 8:50 PM,,24,23,
"Love, Christopher B.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18974,"Love, Christopher B.",BIOL,B101,004,Biological Principles I,4,HARG,276,20 - Beaufort Full Term, T Th   ,4:40 PM - 5:55 PM,,24,20,
"Love, Christopher B.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18974,"Love, Christopher B.",BIOL,B101,004,Biological Principles I,4,SCITEC,114,20 - Beaufort Full Term,   Th   ,6:00 PM - 8:50 PM,,24,20,
"Lovell, Laurie L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19855,"Lovell, Laurie L.",ARTS,B101,081,Studio Arts for Non Majors,3,HARG,275,2A - Beaufort First Half Term,M W    ,9:30 AM - 12:25 PM,,15,13,
"Lovell, Laurie L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19856,"Lovell, Laurie L.",ARTS,B101,082,Studio Arts for Non Majors,3,HARG,275,2B - Beaufort Second Half Term,M W    ,9:30 AM - 12:25 PM,,15,15,
"Lundin, John H.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19531,"Lundin, John H.",MGSC,B290,001,Computer Info Systems in Bus,3,SCITEC,123,20 - Beaufort Full Term,M W F  ,10:30 AM - 11:20 AM,,35,33,
"Lundin, John H.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19532,"Lundin, John H.",MGSC,B390,001,Mgmt Information Systems,3,SCITEC,123,20 - Beaufort Full Term,M W F  ,11:30 AM - 12:20 PM,,35,25,
"Macdonell, Gregory M.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,21307,"Macdonell, Gregory M.",PEDU,B114,081,Golf,1,HARG,158,2A - Beaufort First Half Term,    F  ,1:00 PM - 4:00 PM,,12,8,Golf Course days are at Old South Golf Links
"Madden, Kathryn R.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18971,"Madden, Kathryn R.",BIOL,B101,001,Biological Principles I,4,LIBR2,267,20 - Beaufort Full Term,M W F  ,11:30 AM - 12:20 PM,,24,24,
"Madden, Kathryn R.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18971,"Madden, Kathryn R.",BIOL,B101,001,Biological Principles I,4,SCITEC,114,20 - Beaufort Full Term,M      ,12:30 PM - 3:20 PM,,24,24,
"Madden, Kathryn R.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18972,"Madden, Kathryn R.",BIOL,B101,002,Biological Principles I,4,LIBR2,267,20 - Beaufort Full Term,M W F  ,11:30 AM - 12:20 PM,,24,23,
"Madden, Kathryn R.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18972,"Madden, Kathryn R.",BIOL,B101,002,Biological Principles I,4,SCITEC,114,20 - Beaufort Full Term,  W    ,3:20 PM - 6:10 PM,,24,23,
"Madden, Kathryn R.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,29457,"Madden, Kathryn R.",BIOL,B101,007,Biological Principles I,4,LIBR2,267,20 - Beaufort Full Term,M W F  ,11:30 AM - 12:20 PM,,20,18,
"Madden, Kathryn R.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18992,"Madden, Kathryn R.",BIOL,B270,001,Intro Environmental Biology,3,HARG,158,20 - Beaufort Full Term, T Th   ,3:05 PM - 4:20 PM,,24,10,
"Madden, Kathryn R.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18993,"Madden, Kathryn R.",BIOL,B270L,001,Intro Environmental Bio Lab,1,SCITEC,114,20 - Beaufort Full Term, T     ,12:05 PM - 1:55 PM,,24,5,
"Madden, Kathryn R.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,18997,"Madden, Kathryn R.",BIOL,B301L,002,Ecology and Evolution Lab,1,SCITEC,118,20 - Beaufort Full Term,    F  ,3:00 PM - 6:00 PM,,24,22,
"Malphrus, P. Ellen",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19808,"Malphrus, P. Ellen",ENGL,B211,002,Editing and Publishing Prac,1,LIBR2,238,20 - Beaufort Full Term, T     ,1:40 PM - 2:55 PM,,10,8,The Pen
